Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C0,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,157.1625,-42.3863,-90,bottom
C1,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,70.9295,-36.1633,90,bottom
C2,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,29.3687,-51.5938,0,bottom
C3,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,47.0534,-55.2133,90,bottom
C4,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,70.9295,-55.2133,90,bottom
C5,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,94.6784,-55.2133,90,bottom
C6,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,44.7674,-74.2418,90,bottom
C7,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,63.8174,-74.1363,90,bottom
C8,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,82.8674,-74.2633,90,bottom
C9,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,101.9175,-74.2633,90,bottom
C10,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,104.0638,-91.0336,90,bottom
C11,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,208.7562,-36.0465,90,bottom
C12,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,267.4937,-62.7063,180,bottom
C13,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,185.2294,-55.2133,90,bottom
C14,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,209.042,-55.245,90,bottom
C15,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,232.8545,-55.245,90,bottom
C16,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,178.054,-74.295,90,bottom
C17,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,197.104,-74.295,90,bottom
C18,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,216.154,-74.295,90,bottom
C19,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,235.204,-74.295,90,bottom
C20,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,179.8828,-91.0844,90,bottom
C21,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,141.224,-90.805,90,bottom
C22,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,38.8937,-89.6937,0,bottom
C23,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,59.5312,-89.6937,0,bottom
C24,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,81.7562,-89.6937,0,bottom
C25,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,214.8624,-89.6937,0,bottom
C26,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,236.5374,-89.6937,0,bottom
C27,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,257.9688,-89.6937,0,bottom
D1,SK6812MINI,LED_MX_6028R,79.3749,-33.6555,180,bottom
D2,SK6812MINI,LED_MX_6028R,29.0512,-57.15,90,bottom
D3,SK6812MINI,LED_MX_6028R,55.5624,-52.7055,180,bottom
